beta, gamma, t0 
0.039307, 0.512693, 0.133213
0.0385388, 0.546444, 0.294859
0.0409904, 0.869583, 0.312698
0.0350041, 0.845044, -0.105394
0.0312595, 0.823612, 0.0748479
0.0526996, 0.798072, 0.0458001
0.0313514, 0.907663, -0.406006
0.0427656, 1.01672, 0.117629
0.0511016, 0.929427, 0.0489175
0.0478654, 0.957758, -0.126872
0.0475189, 1.16741, -0.293579
0.036159, 1.07071, -0.0704612
0.040736, 0.850328, 0.206244
0.0474954, 0.85666, -0.0504678
0.040171, 1.27137, 0.0282471
0.0338541, 0.971558, 0.104412
0.0399495, 1.06793, -0.494637
0.0407403, 0.995682, -0.481362
0.0394619, 0.90172, -0.570511
0.027054, 1.08729, -0.29491
0.0539368, 1.28734, -0.515202
0.0605021, 1.21636, 0.0335728
0.0496946, 1.96331, 0.446886
0.0594372, 1.48762, 0.427349
0.0573495, 1.09244, 0.536318
0.0526007, 1.70649, 0.429934
0.0597099, 1.5885, 0.535071
0.0563444, 1.01496, 0.543205
0.0473284, 1.70687, 0.396693
0.0448768, 1.3022, 0.420895
0.0532952, 1.15768, 0.236893
0.0531386, 1.39166, 0.306883
0.0573062, 0.981541, 0.391434
0.0576271, 1.33387, -0.532872
0.0582121, 1.17865, 0.493777
0.050765, 1.21913, 0.086408
0.0626663, 1.44822, 0.453549
0.0543831, 1.125, 0.344012
0.046516, 1.13437, 0.446232
0.0481049, 1.15245, 0.248575
0.0557867, 1.01598, 0.459662
0.0394371, 1.36671, -0.0446812
0.041254, 1.38637, -0.240237
0.0480114, 1.01761, -0.143821
0.0378666, 0.998449, -0.784844
0.0340962, 0.971471, -0.325011
0.0361981, 1.02238, -0.178692
0.0381857, 0.676858, -0.483702
0.0475156, 1.00899, -0.0753814
0.0448286, 0.91479, 0.339941
0.0491029, 0.877045, 0.394409
0.0395444, 0.817184, 0.280576
0.0513767, 1.0262, 0.368189
0.0601135, 1.4236, 0.24007
0.0725835, 1.48973, 0.302704
0.0465242, 1.2569, -0.233368
0.0499561, 1.13789, -0.180784
0.0549666, 1.19352, 0.172671
0.0479851, 1.04953, 0.180001
0.0626194, 1.12089, 0.198539
0.0383495, 0.935981, -0.191632
0.0349954, 0.845167, 0.129787
0.0354518, 0.897241, -0.162503
0.0444635, 0.830977, -0.57864
