alpha, beta, delta, gamma 
0.103867, 0.0135962, 0.0192521, 0.179599
0.112218, 0.0136493, 0.0202967, 0.175048
0.138445, 0.0143124, 0.0172404, 0.199227
0.121841, 0.01328, 0.0206026, 0.197696
0.103284, 0.011311, 0.020104, 0.204298
0.0888737, 0.0128038, 0.0176791, 0.184982
0.100622, 0.0115439, 0.0192606, 0.164827
0.106481, 0.013344, 0.0150445, 0.148903
0.123005, 0.0118509, 0.0178888, 0.121711
0.102546, 0.0116473, 0.0175251, 0.135944
0.105289, 0.0111885, 0.0172859, 0.156109
0.101802, 0.0117843, 0.0143147, 0.119985
0.124731, 0.0160296, 0.0155704, 0.141243
0.124696, 0.0151608, 0.0163069, 0.161058
0.111654, 0.0151756, 0.0163167, 0.136144
0.122134, 0.0150615, 0.0144891, 0.157459
0.11951, 0.0164619, 0.0148486, 0.133305
0.112796, 0.0166592, 0.0128168, 0.135589
0.132012, 0.0121438, 0.0116573, 0.122831
0.130069, 0.01447, 0.0111916, 0.124735
0.121744, 0.0153307, 0.00885182, 0.109148
0.0976553, 0.0152265, 0.0107633, 0.109946
0.108126, 0.0156348, 0.0112236, 0.120973
0.131195, 0.0147166, 0.0104828, 0.112108
0.119618, 0.0143192, 0.0120628, 0.0937531
0.119578, 0.0137409, 0.0111456, 0.102026
0.111152, 0.0119507, 0.0129109, 0.108312
0.0982986, 0.0110645, 0.0123679, 0.111132
0.110109, 0.01132, 0.0103618, 0.107609
0.146217, 0.0144744, 0.012054, 0.130684
0.126835, 0.0170207, 0.0111706, 0.109309
0.141388, 0.0155635, 0.0122239, 0.104108
0.14896, 0.0140805, 0.0122356, 0.102681
0.122429, 0.0162877, 0.0109639, 0.111471
0.141189, 0.014345, 0.0126136, 0.109974
0.137724, 0.0145751, 0.0139854, 0.125605
0.117287, 0.0146216, 0.0133454, 0.13524
0.121066, 0.0153249, 0.0120417, 0.132192
0.156407, 0.0149282, 0.0123646, 0.132046
0.129573, 0.0165103, 0.0121225, 0.112574
0.13203, 0.0165765, 0.011892, 0.1265
0.124551, 0.011248, 0.0131363, 0.113265
0.131717, 0.0128355, 0.0131416, 0.104708
0.124904, 0.0123908, 0.01511, 0.108175
